participant_id	original_participant_id	species	sex
sub-1000181910	sub-1000181910	Homo Sapiens	F
sub-1000610030	sub-1000610030	Homo Sapiens	M
sub-1001372857	sub-1001372857	Homo Sapiens, Homo sapiens	M
sub-1005024327	sub-1005024327	Homo Sapiens, Homo sapiens	F
sub-1010207282	sub-1010207282	Homo Sapiens	M
sub-1025146065	sub-1025146065	Homo Sapiens	F
sub-1026212250	sub-1026212250	Homo sapiens, Homo Sapiens	M
sub-1029212302	sub-1029212302	Homo Sapiens, Homo sapiens	M
sub-1032184063	sub-1032184063	Homo sapiens, Homo Sapiens	M
sub-1036289507	sub-1036289507	Homo Sapiens, Homo sapiens	M
sub-1039120564	sub-1039120564	Homo Sapiens	M
sub-1048208693	sub-1048208693	Homo Sapiens, Homo sapiens	M
sub-1052597362	sub-1052597362	Homo Sapiens, Homo sapiens	F
sub-1056763709	sub-1056763709	Homo Sapiens, Homo sapiens	M
sub-1058766119	sub-1058766119	Homo Sapiens, Homo sapiens	F
sub-1064223281	sub-1064223281	Homo Sapiens, Homo sapiens	M
sub-1067593183	sub-1067593183	Homo Sapiens, Homo sapiens	unknown, M
sub-1068001195	sub-1068001195	Homo Sapiens, Homo sapiens	M
sub-1071318215	sub-1071318215	Homo Sapiens	unknown
sub-1075344016	sub-1075344016	Homo Sapiens	M
sub-1075906058	sub-1075906058	Homo Sapiens	M
sub-1078812471	sub-1078812471	Homo Sapiens, Homo sapiens	M
sub-1084222307	sub-1084222307	Homo sapiens, Homo Sapiens	F
sub-1089025641	sub-1089025641	Homo Sapiens	M
sub-1102806080	sub-1102806080	Homo Sapiens	M
sub-1102847412	sub-1102847412	Homo sapiens	F
sub-567704703	sub-567704703	Homo sapiens	F
sub-569800644	sub-569800644	Homo sapiens	M
sub-571458187	sub-571458187	Homo sapiens	M
sub-591270122	sub-591270122	Homo sapiens	F
sub-595536280	sub-595536280	Homo sapiens	F
sub-601901227	sub-601901227	Homo sapiens	F
sub-611526465	sub-611526465	Homo sapiens	M
sub-636948822	sub-636948822	Homo sapiens	F
sub-642843699	sub-642843699	Homo Sapiens	M
sub-643277950	sub-643277950	Homo Sapiens	F
sub-643488707	sub-643488707	Homo sapiens, Homo Sapiens	M
sub-645077860	sub-645077860	Homo Sapiens	M
sub-648220984	sub-648220984	Homo sapiens, Homo Sapiens	M
sub-651940947	sub-651940947	Homo Sapiens	M
sub-653027578	sub-653027578	Homo Sapiens	F
sub-653718968	sub-653718968	Homo Sapiens	M
sub-656856430	sub-656856430	Homo Sapiens	F
sub-665691251	sub-665691251	Homo sapiens	M
sub-672637567	sub-672637567	Homo Sapiens	M
sub-674562997	sub-674562997	Homo Sapiens	F
sub-676285262	sub-676285262	Homo Sapiens	F
sub-676839274	sub-676839274	Homo Sapiens	F
sub-685740095	sub-685740095	Homo Sapiens	F
sub-689168779	sub-689168779	Homo Sapiens	M
sub-695464588	sub-695464588	Homo Sapiens, Homo sapiens	M
sub-699761589	sub-699761589	Homo Sapiens	F
sub-700619648	sub-700619648	Homo Sapiens	M
sub-707724503	sub-707724503	Homo Sapiens	F
sub-712700908	sub-712700908	Homo Sapiens	F
sub-716866594	sub-716866594	Homo Sapiens	M
sub-720619787	sub-720619787	Homo Sapiens, Homo sapiens	F
sub-727391446	sub-727391446	Homo Sapiens	F
sub-731978186	sub-731978186	Homo Sapiens, Homo sapiens	M
sub-736890023	sub-736890023	Homo Sapiens	M
sub-737373545	sub-737373545	Homo Sapiens	M
sub-750786644	sub-750786644	Homo Sapiens	F
sub-758233315	sub-758233315	Homo Sapiens, Homo sapiens	M
sub-759979832	sub-759979832	Homo Sapiens	M
sub-760110174	sub-760110174	Homo Sapiens	F
sub-766758349	sub-766758349	Homo Sapiens	M
sub-767377358	sub-767377358	Homo Sapiens	F
sub-768678784	sub-768678784	Homo Sapiens	M
sub-770227957	sub-770227957	Homo Sapiens	M
sub-774230643	sub-774230643	Homo Sapiens	M
sub-783453365	sub-783453365	Homo Sapiens, Homo sapiens	M
sub-786359945	sub-786359945	Homo Sapiens	M
sub-793165711	sub-793165711	Homo Sapiens, Homo sapiens	M
sub-797676582	sub-797676582	Homo Sapiens	M
sub-805678822	sub-805678822	Homo Sapiens	M
sub-811677083	sub-811677083	Homo Sapiens	M
sub-813352040	sub-813352040	Homo sapiens	M
sub-819522395	sub-819522395	Homo sapiens	M
sub-832340431	sub-832340431	Homo Sapiens	M
sub-835477230	sub-835477230	Homo Sapiens	F
sub-837533189	sub-837533189	Homo sapiens	F
sub-839796862	sub-839796862	Homo Sapiens	F
sub-846404050	sub-846404050	Homo Sapiens, Homo sapiens	M
sub-849052252	sub-849052252	Homo sapiens, Homo Sapiens	F
sub-852238534	sub-852238534	Homo Sapiens	unknown
sub-852318897	sub-852318897	Homo Sapiens	M
sub-854418264	sub-854418264	Homo Sapiens, Homo sapiens	F
sub-857183962	sub-857183962	Homo Sapiens	M
sub-861697826	sub-861697826	Homo Sapiens, Homo sapiens	unknown, M
sub-867677402	sub-867677402	Homo Sapiens	F
sub-868104622	sub-868104622	Homo Sapiens	M
sub-871554083	sub-871554083	Homo sapiens	M
sub-879881396	sub-879881396	Homo Sapiens, Homo sapiens	M
sub-889628154	sub-889628154	Homo Sapiens, Homo sapiens	M
